ts	phase	decision	why	evidence	result
2026-08-06T08:28:30Z	frame	kept all app edits with one owner after three read-only exploration seams	routes, repositories, and shared navigation overlap, so parallel writes would create shared-state risk	SPEC-POKE.md, src/, app/	baseline TypeScript check passed
2026-08-06T08:36:00Z	frame	set high-rigor gates for eight requested units	the work changes stored labels, schedule math, notifications, and mobile layout	SPEC-POKE.md, scripts/verify-phase2.mjs	VERIFIED baseline, scoped about 15 files
2026-08-06T08:36:00Z	grounding	kept custom effect labels distinct and identified current-schedule-only streak history	the text column needs no migration, while the database has no schedule history	src/db/schema.ts, src/db/types.ts, src/domain/scheduling.ts	open for architecture synthesis
2026-08-06T08:50:00Z	design	selected one normalized schedule for Today, reminders, and streaks	three candidates and a read-only judge favored one shared recurrence rule	/tmp/poke-phase3-architect/synthesis.md	VERIFIED design, Candidate 2 base
2026-08-06T08:51:00Z	harness	added the rerunnable Phase 3 gate before feature edits	the final predicate now fails on exact missing files and legacy config colors	scripts/verify-phase3.mjs	baseline failed for seven expected reasons; TypeScript gate passed
2026-08-06T08:56:00Z	phase-2-fixes	separated one-weight copy, sized the shot diagram from viewport height, and made the front navel explicit	each defect came from one wrong display or layout condition	app/(tabs)/index.tsx, app/log-shot/index.tsx, src/components/BodyDiagram.tsx	VERIFIED TypeScript and Phase 2 source checks passed
2026-08-06T09:03:00Z	side-effects	stored preset and custom effects through a parsed domain value and added a draggable severity control	custom labels must stay distinct in Progress without a schema migration	src/domain/sideEffects.ts, app/log-side-effect.tsx, src/components/SeveritySlider.tsx	VERIFIED TypeScript passed
2026-08-06T09:08:00Z	streak-domain	replaced gap counting with combined schedule-week logic and explicit one-day grace windows	extra injections cannot satisfy two doses, and pending weeks do not break current	src/domain/streaks.ts, src/domain/streaks.test.ts	VERIFIED six tests and TypeScript passed
2026-08-06T09:12:00Z	streak-ui	used the same combined result in Today and Progress	one domain calculation must own current and best values	app/(tabs)/index.tsx, app/(tabs)/progress.tsx	VERIFIED TypeScript passed; chip hidden below two
2026-08-06T09:15:00Z	progress-effects	grouped the last 14 local calendar days and exposed filtered records in a sheet	bars need visible labels and a direct path to the underlying records	app/(tabs)/progress.tsx	VERIFIED TypeScript passed; source review complete
2026-08-06T09:20:00Z	reminders	reused normalized schedule generation and refreshed after medication mutations and onboarding	Today and notifications must not interpret frequency fields differently	src/domain/scheduling.ts, src/services/notifications.ts, src/services/medicationMutations.ts	VERIFIED TypeScript passed; callers checked
2026-08-06T09:22:00Z	disclaimer	put the personal-record language in a reachable About sheet	App Store language must remain explicit and easy to find	app/(tabs)/profile.tsx	VERIFIED TypeScript passed
2026-08-06T09:27:00Z	icons	authored deterministic SVG sources and rendered all configured PNG sizes with rsvg-convert	the app config must only reference files that exist and decode as PNG	assets/images/icon-poke.svg, scripts/render-poke-icons.sh, app.json	VERIFIED dimensions, signatures, config references, and visual source previews
2026-08-06T09:34:00Z	web-export	ran Expo static export with Node 20 and the Node Metro watcher	Node 25 crashes in Expo image utilities and the installed Watchman cannot load Boost	/tmp/poke-web-export, metro.config.js	VERIFIED 26 static routes exported; live browser blocked by socket and Mach sandbox permissions
2026-08-06T09:38:00Z	final-gate	expanded one rerunnable gate to cover feature wiring, assets, TypeScript, and streak behavior	the final predicate must test the actual files and executable logic	scripts/verify-phase3.mjs	VERIFIED final gate passed
2026-08-06T09:45:00Z	finish-review	preserved medication status during normal edits and made onboarding reactivation explicit	a paused medication edit must not resume reminders	src/repositories/medications.ts, src/services/onboarding.ts	VERIFIED independent finding fixed; TypeScript and final gate passed
2026-08-06T09:48:00Z	accessibility	gave the Today streak chip a complete spoken label	the flame icon and number must identify the value as a weekly streak	app/(tabs)/index.tsx	VERIFIED TypeScript passed
2026-08-06T09:52:00Z	independent-audit	recorded the missing live UI and native evidence separately from implementation results	the sandbox cannot bind the development server socket or launch Chromium/iOS UI	.audit/poke-phase3.tsv	ATTENTION source gates and web export pass; device visual review remains
2026-08-06T09:56:00Z	final-verification	ran TypeScript, Phase 2 checks, six streak cases, Phase 3 checks, and a production web export	the completed scope needs one repeatable final predicate before handoff	scripts/verify-phase2.mjs, scripts/verify-phase3.mjs, src/domain/streaks.test.ts	VERIFIED all checks passed; Expo exported 26 static routes
