ts	phase	decision	why	evidence	result
2026-08-06T07:34:27Z	frame	Use the shipped Phase 1 Poke tokens and SPEC-POKE.md as the design contract	The user fixed the visual system and screen structure, so a new direction exercise would add no value	SPEC-POKE.md	contract fixed
2026-08-06T07:34:27Z	verification	Use the project-local TypeScript compiler when npx cannot start	npx exits in the macOS Keychain before TypeScript runs	./node_modules/.bin/tsc --noEmit	baseline clean
2026-08-06T07:51:00Z	architecture	Keep route-local loaders and add pure schedule helpers plus reusable sheet and calendar components	This follows the existing repository and dataVersion boundary without duplicating SQLite state	.audit/phase-2-architecture.md	design selected
2026-08-06T08:02:00Z	phase-1-review	Fixed all six review findings and replaced raw reminder text with an inline time control	Each finding now has one owning component or screen	app/onboarding, src/components/InlineTimePicker.tsx	local TypeScript check passed
2026-08-06T08:08:00Z	tab-bar	Moved four routes into Expo Router Tabs and replaced the seal with a 56 px center add button	Router-owned navigation fixes web history and makes the final information architecture reachable	app/(tabs)/_layout.tsx	local TypeScript check passed
2026-08-06T08:14:00Z	today	Rebuilt Today around one medication summary and two quick-log tiles	The estimate, countdown, due state, and latest logs now come from repositories and pure domain helpers	app/(tabs)/index.tsx, src/domain/scheduling.ts	local TypeScript check passed
2026-08-06T08:15:00Z	log-sheet	Added four 56 px log actions and a working side-effect destination	Every center-sheet row is one tap from its writer	src/components/LogActionSheet.tsx, app/log-side-effect.tsx	local TypeScript check passed
2026-08-06T08:22:00Z	log-shot	Rebuilt shot logging around a prefilled draft and saved rotation suggestion	The default path now needs only confirmation while exact time and notes stay optional	app/log-shot/index.tsx, src/components/BodyDiagram.tsx	local TypeScript check passed
2026-08-06T08:28:00Z	history	Embedded the month grid in History and grouped list rows by day	Calendar selection now filters one shared shot list and the separate route is gone	app/(tabs)/history.tsx, src/components/MonthGrid.tsx	local TypeScript check passed
2026-08-06T08:35:00Z	progress	Added weight ranges, goal percentage, shot streaks, and conditional side-effect counts	Every metric is derived from stored measurements, schedules, and logs	app/(tabs)/progress.tsx	local TypeScript check passed
2026-08-06T08:43:00Z	profile	Reduced Profile to medications, reminders, units, goal, and disclaimer	The requested list is complete and no export behavior exists to preserve	app/(tabs)/profile.tsx	local TypeScript check passed
2026-08-06T08:45:00Z	legacy-cleanup	Deleted the seal, calendar route, Americana components, aliases, and Fraunces dependency	All callers now use Poke tokens and sentence-case labels	scripts/verify-phase2.mjs --final	final source scan passed
2026-08-06T08:46:00Z	reports	Restyled report headers, ranges, labels, and chart colors without changing their data flow	Reports remain working card routes and inherit the current theme	app/reports	local TypeScript check passed
2026-08-06T08:13:54Z	audit	Corrected the timing record for the preceding seven checkpoints	Their timestamps were projected instead of read from the clock; the actions and evidence are accurate, but those seven time cells are not	active conversation and tool outputs	attention required
2026-08-06T08:13:54Z	web-verification	Stopped the Expo web walkthrough before browser work	Metro and static export both exit before port 8084 opens because macOS Keychain returns SecItemCopyMatching failed -50	Expo CLI output	INCONCLUSIVE
2026-08-06T08:13:54Z	final-verification	Ran strict TypeScript, ESLint, package JSON parsing, and direct requirement scans	These checks can run without Metro and cover the final source artifact	scripts/verify-phase2.mjs --final	checks passed
2026-08-06T08:17:30Z	strictness	Removed loose route and error casts from touched code and reran the final gates	Typed routes and unknown errors keep the final implementation within the strict TypeScript contract	./node_modules/.bin/tsc --noEmit; ./node_modules/.bin/eslint app src; scripts/verify-phase2.mjs --final	checks passed
2026-08-06T08:17:30Z	review	Used a local source audit after two independent finish-review attempts stalled	The reviewer produced no result after two bounded attempts, so the final handoff must disclose the missing independent review	active conversation	attention required
